hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,meal_name,country,country_full,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,adr_clean,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,bed & breakfast,IRL,Ireland,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,NULL,0,Transient,88.2,88.2,0,0,Check-Out,02-07-2015
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,bed & breakfast,FRA,France,Corporate,Corporate,0,0,0,A,G,0,No Deposit,NULL,110,0,Transient,107.42,107.42,0,0,Check-Out,02-07-2015
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,153,153,0,1,Check-Out,05-07-2015
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,97.29,97.29,0,1,Check-Out,06-07-2015
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Transient,84.67,84.67,0,1,Check-Out,07-07-2015
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Transient,84.67,84.67,0,1,Check-Out,07-07-2015
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Transient,99.67,99.67,0,1,Check-Out,07-07-2015
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,half board,GBR,United Kingdom of Great Britain and Northern Ireland (the),Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,NULL,0,Contract,94.95,94.95,0,1,Check-Out,01-07-2015
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Transient,63.6,63.6,1,0,Check-Out,08-07-2015
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,bed & breakfast,IRL,Ireland,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Contract,79.5,79.5,0,0,Check-Out,08-07-2015
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,107,107,0,2,Canceled,11-05-2015
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,94,94,0,0,Check-Out,08-07-2015
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,87.3,87.3,1,1,Check-Out,08-07-2015
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,bed & breakfast,NULL,Unknown,Direct,Direct,0,0,0,A,A,2,No Deposit,NULL,NULL,0,Transient,62,62,0,2,Check-Out,15-07-2015
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,63.86,63.86,0,0,Check-Out,16-07-2015
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,108.3,108.3,0,2,Canceled,29-05-2015
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,bed & breakfast,IRL,Ireland,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,NULL,0,Transient,65.5,65.5,0,0,Check-Out,08-07-2015
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,108.8,0,1,Canceled,19-05-2015
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,108.8,0,1,Canceled,19-06-2015
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,bed & breakfast,ESP,Spain,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,98,98,0,0,Check-Out,06-07-2015
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,108.8,0,1,Check-Out,06-07-2015
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,108.8,0,0,Canceled,23-05-2015
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,half board,ROU,Romania,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,137,137,0,1,Check-Out,07-07-2015
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Transient,117.81,117.81,0,0,Canceled,18-05-2015
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,bed & breakfast,IRL,Ireland,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Contract,79.5,79.5,0,0,Check-Out,07-07-2015
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,bed & breakfast,ESP,Spain,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,NULL,0,Transient,123,123,0,0,Check-Out,07-07-2015
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,half board,ROU,Romania,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,137,137,0,1,Check-Out,07-07-2015
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,110.7,110.7,0,2,Check-Out,09-07-2015
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,153,153,0,0,Canceled,02-06-2015
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,bed & breakfast,ESP,Spain,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient,58.95,58.95,0,1,Check-Out,09-07-2015
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,bed & breakfast,NOR,Norway,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,NULL,0,Transient-Party,82.88,82.88,0,2,Check-Out,09-07-2015
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,half board,GBR,United Kingdom of Great Britain and Northern Ireland (the),Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,NULL,0,Contract,82.35,82.35,0,0,Check-Out,09-07-2015
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,half board,IRL,Ireland,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,NULL,0,Transient,119.35,119.35,0,1,Check-Out,09-07-2015
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,bed & breakfast,NOR,Norway,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,NULL,0,Transient-Party,67.58,67.58,0,2,Check-Out,09-07-2015
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,bed & breakfast,IRL,Ireland,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,NULL,0,Contract,56.01,56.01,0,0,Check-Out,13-07-2015
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,bed & breakfast,OMN,Oman,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,NULL,0,Contract,110.7,110.7,0,0,Check-Out,16-07-2015
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,bed & breakfast,ESP,Spain,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,88.2,88.2,1,0,Check-Out,03-07-2015
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,bed & breakfast,ARG,Argentina,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,147,147,1,0,Check-Out,03-07-2015
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,bed & breakfast,ESP,Spain,Direct,Direct,0,0,0,C,C,0,No Deposit,NULL,NULL,0,Transient,107,107,1,2,Check-Out,03-07-2015
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,H,H,0,No Deposit,NULL,NULL,0,Transient,147,147,0,0,Check-Out,03-07-2015
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,117.9,117.9,0,2,Check-Out,03-07-2015
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,NULL,0,Transient,123,123,0,0,Check-Out,03-07-2015
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,bed & breakfast,USA,United States of America (the),Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,NULL,0,Transient,98,98,0,1,Check-Out,04-07-2015
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Transient,117.81,117.81,0,0,Check-Out,04-07-2015
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,bed & breakfast,IRL,Ireland,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,135,135,1,2,Check-Out,04-07-2015
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,bed & breakfast,ESP,Spain,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,133,133,0,1,Check-Out,05-07-2015
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,bed & breakfast,IRL,Ireland,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,NULL,0,Contract,58.95,58.95,0,0,Check-Out,05-07-2015
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,half board,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,136.33,136.33,0,2,Canceled,29-06-2015
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,bed & breakfast,USA,United States of America (the),Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,NULL,0,Transient,153,153,1,0,Check-Out,05-07-2015
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,ESP,Spain,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,110.5,110.5,0,0,Check-Out,05-07-2015
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,POL,Poland,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,NULL,0,Transient,97,97,0,0,Check-Out,05-07-2015
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,bed & breakfast,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,110.3,110.3,0,2,Canceled,16-06-2015
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,82,82,0,2,Canceled,18-06-2015
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,97,97,0,1,Canceled,03-07-2015
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.8,73.8,0,1,Canceled,12-06-2015
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,half board,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,NULL,0,Transient,91.5,91.5,0,0,Check-Out,05-07-2015
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,ESP,Spain,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,114.5,114.5,0,0,Check-Out,05-07-2015
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,110.3,110.3,0,0,Canceled,09-06-2015
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,bed & breakfast,ESP,Spain,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,90.9,90.9,1,0,Check-Out,06-07-2015
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,123,0,0,Canceled,26-05-2015
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,122,122,0,0,Check-Out,07-07-2015
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,bed & breakfast,DEU,Germany,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,NULL,0,Transient,110.7,110.7,1,0,Check-Out,07-07-2015
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,bed & breakfast,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Transient,85.86,85.86,0,0,Check-Out,11-07-2015
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,bed & breakfast,FRA,France,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,58.95,58.95,0,0,Check-Out,12-07-2015
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,bed & breakfast,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,55.68,55.68,0,0,Canceled,19-05-2015
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,55.68,55.68,0,0,Check-Out,13-07-2015
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,half board,PRT,Portugal,Direct,Direct,0,0,0,A,A,2,No Deposit,250,NULL,0,Transient,124,124,0,1,Canceled,09-06-2015
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,half board,GBR,United Kingdom of Great Britain and Northern Ireland (the),Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,NULL,0,Contract,111.15,111.15,0,0,Check-Out,13-07-2015
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,half board,GBR,United Kingdom of Great Britain and Northern Ireland (the),Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,NULL,0,Contract,134.73,134.73,0,0,Check-Out,17-07-2015
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,NULL,0,Transient,92.45,92.45,0,1,Check-Out,17-07-2015
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,bed & breakfast,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,108.73,108.73,0,2,Canceled,15-04-2015
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,73.8,73.8,0,0,Check-Out,04-07-2015
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,98,98,1,2,Check-Out,04-07-2015
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,bed & breakfast,ESP,Spain,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,131,131,0,1,Check-Out,04-07-2015
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,123,0,0,Check-Out,04-07-2015
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,bed & breakfast,USA,United States of America (the),Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,NULL,0,Transient,94.71,94.71,0,0,Check-Out,04-07-2015
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,bed & breakfast,BEL,Belgium,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,123,123,0,2,Check-Out,04-07-2015
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,123,123,0,1,Canceled,26-05-2015
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.8,73.8,0,1,Canceled,29-06-2015
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,NULL,0,Transient,117,117,0,1,Canceled,13-05-2015
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,half board,ESP,Spain,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,NULL,0,Transient,196.54,196.54,0,1,Check-Out,10-07-2015
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,99.3,99.3,1,2,Check-Out,10-07-2015
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,bed & breakfast,DEU,Germany,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,90.95,90.95,0,0,Check-Out,10-07-2015
Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,bed & breakfast,ESP,Spain,Direct,Direct,0,0,0,A,C,0,No Deposit,250,NULL,0,Transient,92.67,92.67,0,1,Check-Out,07-07-2015
Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,bed & breakfast,FRA,France,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,71.55,71.55,1,0,Check-Out,07-07-2015
Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,bed & breakfast,FRA,France,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,96.49,96.49,0,2,Check-Out,10-07-2015
Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,85.8,85.8,1,2,Check-Out,10-07-2015
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,96.3,96.3,0,1,Check-Out,11-07-2015
Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,163,163,0,0,Canceled,09-06-2015
Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,half board,PRT,Portugal,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,172,172,0,1,Canceled,20-05-2015
Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,110.7,110.7,0,1,Canceled,22-04-2015
Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,bed & breakfast,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient,58.95,58.95,0,1,Check-Out,11-07-2015
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.8,73.8,0,2,Check-Out,11-07-2015
Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,bed & breakfast,CHE,Switzerland,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,97,97,0,2,Check-Out,11-07-2015
Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,HB,half board,PRT,Portugal,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,139,139,0,2,Check-Out,11-07-2015
Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,NULL,0,Transient,67.24,67.24,0,0,Check-Out,11-07-2015
Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,NULL,0,Transient,116.5,116.5,0,1,Check-Out,12-07-2015
Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,96.3,96.3,0,1,Canceled,12-05-2015
